post_id,flag_type,count,evidence,created_at
1973922891050914235,self_reported_returns,1,,2026-06-14T10:19:16.267Z
1973922891050914235,position_disclosure,1,,2026-06-14T10:19:16.269Z
1974151073230434622,position_disclosure,1,,2026-06-14T10:19:16.887Z
1974193295317479663,position_disclosure,1,,2026-06-14T10:19:18.255Z
1974581177517498718,position_disclosure,1,,2026-06-14T10:19:25.452Z
1975043197576610120,position_disclosure,1,,2026-06-14T10:19:26.984Z
1975294794370064468,position_disclosure,1,,2026-06-14T10:19:31.514Z
1975321610090651810,victory_lap,1,,2026-06-14T10:19:32.438Z
1975321610090651810,position_disclosure,1,,2026-06-14T10:19:32.440Z
1975327662903337144,position_disclosure,1,,2026-06-14T10:19:34.306Z
1975334113726079397,position_disclosure,1,,2026-06-14T10:19:34.506Z
1975373671675084993,position_disclosure,1,,2026-06-14T10:19:36.494Z
1975375183902113930,position_disclosure,1,,2026-06-14T10:19:36.661Z
1975647344197837015,position_disclosure,1,,2026-06-14T10:19:40.953Z
1975929128114377050,position_disclosure,1,,2026-06-14T10:19:42.734Z
1975956589225111844,position_disclosure,1,,2026-06-14T10:19:44.447Z
1975980150228713769,position_disclosure,1,,2026-06-14T10:19:45.221Z
1975980150228713769,self_reported_returns,1,,2026-06-14T10:19:45.224Z
1975988773277270355,position_disclosure,1,,2026-06-14T10:19:45.555Z
1975993237983936575,victory_lap,1,,2026-06-14T10:19:45.719Z
1976006587765395592,position_disclosure,1,,2026-06-14T10:19:46.467Z
1976042126845853876,position_disclosure,1,,2026-06-14T10:19:48.126Z
1976043275946758208,position_disclosure,1,,2026-06-14T10:19:48.435Z
1976044610075099407,position_disclosure,1,,2026-06-14T10:19:48.745Z
1976370622633755115,self_reported_returns,1,,2026-06-14T10:19:50.259Z
1976370622633755115,position_disclosure,1,,2026-06-14T10:19:50.273Z
1976429859925811426,victory_lap,1,,2026-06-14T10:19:50.417Z
1976429859925811426,position_disclosure,1,,2026-06-14T10:19:50.417Z
1976429859925811426,self_reported_returns,1,,2026-06-14T10:19:50.417Z
1976440281315881100,position_disclosure,1,,2026-06-14T10:19:51.420Z
1976662977106596031,position_disclosure,1,,2026-06-14T10:19:52.710Z
1976673663509508249,position_disclosure,1,,2026-06-14T10:19:54.802Z
1976710335433523330,position_disclosure,1,,2026-06-14T10:19:56.009Z
1977513528409075787,position_disclosure,1,,2026-06-14T10:20:13.329Z
1977518059490583005,position_disclosure,1,,2026-06-14T10:20:13.892Z
1977764021815415233,position_disclosure,1,,2026-06-14T10:20:14.333Z
1977885886650913212,position_disclosure,1,,2026-06-14T10:20:17.302Z
1978414753660780859,position_disclosure,1,,2026-06-14T10:20:27.288Z
1979201376115921139,position_disclosure,1,,2026-06-14T10:20:37.958Z
1979242291756961839,position_disclosure,1,,2026-06-14T10:20:39.107Z
1979346235606863918,position_disclosure,1,,2026-06-14T10:20:39.677Z
1979346235606863918,influence_milestone,1,,2026-06-14T10:20:39.682Z
1979685872800010548,position_disclosure,1,,2026-06-14T10:20:40.717Z
1979724547441271073,position_disclosure,1,,2026-06-14T10:20:41.981Z
1979786985708687795,position_disclosure,1,,2026-06-14T10:20:42.582Z
